Date/Time,a_x,a_y,a_z,w_x,w_y,w_z,Lat ,Long,Polar_angle,B_x,B_y,B_z,B_total,B_theoretical,Pitch,Roll,Yaw,North_compass_only,Pitch_accel_only,Roll_accel_only,Yaw_accel_only,Pitch_gyro_only,Roll_gyro_only,Yaw_gyro_only
2021-04-22 02:47:26.269576,-0.0014810138382017612,0.005098644178360701,0.01657138578593731,0.2600212097167969,0.2289780229330063,0.07910017669200897,4.395514025735169,-175.67913171735788,1.5296658697877452,-18.038057327270508,31.652402877807617,49.621498107910156,61.55923321934958,25.963715737606694,5.250965764088471,86.88468492214365,271.3536795173158,271.58055108078696,4.934259283785088,87.84634823652476,271.55382455056474,4.857117846638494,88.15165086223517,271.80652788947685
2021-04-22 02:47:26.769511,-0.0009873425588011742,0.0031563034281134605,0.01827726513147354,0.26185381412506104,0.23050519824028015,0.08093277364969254,4.395514025735169,-175.67913171735788,1.5296658697877452,-17.846181869506836,31.518781661987305,49.760799407958984,61.547192970067066,25.963715737606694,5.265246408982498,86.62079373337104,271.4800106962044,271.64829289697514,4.9468067681772245,87.58195161375357,271.66580550200706,4.880902699762594,87.84476363263732,271.886038121605
2021-04-22 02:47:27.269553,-0.00024683563970029354,0.0031563034281134605,0.01730247773230076,0.2630755305290222,0.23050519824028015,0.08123820275068283,4.344960380593319,-175.6430273374052,1.530431351828272,-17.766244888305664,31.694236755371094,49.291114807128906,61.235431735771456,25.961301008598053,5.19404382131923,86.61149784591065,271.54089500246585,271.70718278799905,4.886546143564318,87.5125432314079,271.7074833163225,4.812290461342054,87.80904857346732,271.95277589998517
2021-04-22 02:47:27.769524,-0.0017278495943173766,0.004613059107214212,0.017789868637919426,0.26215922832489014,0.23111605644226074,0.07971104234457016,4.344960380593319,-175.6430273374052,1.530431351828272,-17.39169692993164,31.40736961364746,49.27940368652344,60.970104279476175,25.961301008598053,5.182247657735795,86.64961713166849,271.6858725977886,271.8594960064903,4.87497494933667,87.58660980276753,271.84682600557994,4.79817416787493,87.89152310769524,272.0982179481714
2021-04-22 02:47:28.269674,-0.0014810138382017612,0.0026707183569669724,0.01657138578593731,0.26551899313926697,0.23233777284622192,0.08154363930225372,4.294405027904178,-175.6069229574525,1.531196841065864,-17.282283782958984,31.527542114257812,49.5622444152832,61.229725754745125,25.958931304348404,5.136438005859342,86.79155529281053,271.8096356255492,272.1598125941066,4.766263524072631,87.6079336533563,272.14480666850005,4.689858893582753,87.90967092031995,272.3971480073862
2021-04-22 02:47:28.769674,-0.0019746851176023483,0.0048558516427874565,0.01876465603709221,0.2649081349372864,0.23172691464424133,0.08001647144556046,4.294405027904178,-175.6069229574525,1.531196841065864,-17.398983001708984,31.41714859008789,49.39896011352539,61.07388226830756,25.958931304348404,5.1437159993068144,86.68600837956632,272.0118433759274,272.16834350037993,4.836611911202824,87.64047950475141,272.15085138591553,4.774993786492376,87.88739084324737,272.3547940043429
2021-04-22 02:47:29.269520,-0.0014810138382017612,0.004613059107214212,0.01876465603709221,0.2636864185333252,0.22989431023597717,0.08062733709812164,4.2438471138940965,-175.57083223787816,1.5319623899767525,-17.53710174560547,31.693662643432617,49.076690673828125,60.99639134314458,25.956606486206887,5.2192420967147,86.83929148491974,272.0617720587602,272.3371447955276,4.863814847119692,87.70979909463787,272.3533255136714,4.802228312034156,87.95417643295175,272.55604552823735
2021-04-22 02:47:29.769703,-0.0014810138382017612,0.004370266571640968,0.019008353352546692,0.2633809745311737,0.23050519824028015,0.07910017669200897,4.2438471138940965,-175.57083223787816,1.5319623899767525,-17.431324005126953,31.535022735595703,49.36576843261719,61.11700097721612,25.956606486206887,5.246894971343143,86.81645133233522,271.98258967571223,272.23092852374475,4.922250103676913,87.7481027955033,272.2291116934255,4.847589732746327,88.04550972253317,272.47674020178437
2021-04-22 02:47:30.269581,-0.0017278495943173766,0.0033990959636867046,0.019252052530646324,0.2642972767353058,0.23019975423812866,0.08123820275068283,4.193287492336724,-175.5347415183038,1.5327279462290444,-17.415281295776367,31.670207977294922,49.29328918457031,61.123828860517314,25.954326736575638,5.221150280814072,86.80642461463364,272.024281150406,272.2369322600252,4.896815332981432,87.70596052832433,272.23935697718053,4.8351485431731485,87.95272843284772,272.4423638596917
2021-04-22 02:47:30.769687,-0.0012341781985014677,0.004370266571640968,0.015352901071310043,0.26215922832489014,0.23111605644226074,0.07879474759101868,4.193287492336724,-175.5347415183038,1.5327279462290444,-17.41400909423828,31.725271224975586,49.07472229003906,60.975969978975606,25.954326736575638,5.256500778637119,86.84440046641892,271.867678573116,272.1186948553031,4.917485619844006,87.71667709513207,272.10396896745254,4.8400906119244755,88.02808590996047,272.3643904201268
2021-04-22 02:47:31.269748,-0.0029620276764035225,0.0031563034281134605,0.01803356595337391,0.2642972767353058,0.22989431023597717,0.07879474759101868,4.142726163232058,-175.4986644591078,1.533493547698631,-17.508405685424805,31.71007537841797,49.06515884399414,60.98740003096329,25.95209196453758,5.129074635047246,86.60219512826109,272.103463533454,272.3565083818246,4.783987864968815,87.46949937925848,272.3397675881689,4.72515346923197,87.70750415107675,272.53869684774554
2021-04-22 02:47:31.769576,-0.0012341781985014677,0.004127473570406437,0.019495747983455658,0.26032665371894836,0.22928345203399658,0.07848931103944778,4.142726163232058,-175.4986644591078,1.533493547698631,-17.429006576538086,31.638626098632812,49.05351257324219,60.91814202212118,25.95209196453758,5.108610107633418,86.47322066616374,272.1791420294577,272.41514555584916,4.783137933303971,87.38306333531197,272.3858645348773,4.723977822921082,87.62475640928204,272.58669941723235
