row,time_REC,pitch_rec,roll_rec,yaw_rec,beta,lat_rec_r,long_rec_r,lat_r,long_r,Theta_rad,B_x,B_y,B_z,B_t,Bth_x,Bth_y,Bth_z,Bth_t,Bwmm_x,Bwmm_y,Bwmm_z,Bwmm_t,Bwmm1_x,Bwmm1_y,Bwmm1_z,Bwmm2_x,Bwmm2_y,Bwmm2_z,Bwmm3_x,Bwmm3_y,Bwmm3_z,Bwmm3_t,pitch_api,roll_api,yaw_api,Biss_x,Biss_API_y,Biss_API_z,Biss_API_t,B_p_x,B_p_y,B_p_z,B_p_t,pitch_iss,roll_iss,yaw_iss,Bwmm_p_x,Bwmm_p_y,Bwmm_p_z,Bwmm_p_t,Biss_VEC_x,Biss_VEC_y,Biss_VEC_z,Biss_VEC_t,alpha,vt_Bwmm_paralel,vs_Bwmm_paralel,I_indus,mom_mag_indus,Forta_wmm_indus,mom_F_wmm_indus,mom_mag_sursa,Forta_wmm_sursa,mom_F_wmm_sursa
1,2021-04-22 01:57:39.240691,0.4319044053554535,1.5304105281829834,6.103351209555762,0,-0.253278892391642,0.15050493216953023,-0.25316257332143927,0.150634670379586,0.0312591490257094,2.465940475463867,26.40353775024414,19.874963760375977,33.13973223539015,25.267507579128345,0,-11.360555019746359,27.703955486861304,14.667661344614071,-2.0089310127304274,-19.98616529682299,24.87213091808033,21.798478119524344,-11.923665860253982,-1.1293540329585223,16.5896713000286,-17.483782825367946,6.141908553414306,15.738659346783228,8.847209303920149,-17.106852016214706,24.87213091808033,1.0,4.94,1.57,-13.272718871319361,17.55632844632399,36.98181577659068,43.03538582243655,-25.333495309655373,-16.518422458811013,-13.54981872577172,33.13973223539015,0,0,0,14.667661344614071,-2.0089310127304274,-19.98616529682299,24.87213091808033,-40.001156654269444,-14.509491446080586,6.436346571051269,43.03538582243656,0,0.0,8.168928690821531e-05,-0.0,-0.0,-0.0,-0.0,1600000.0,0.0001307028590531445,32.14087129269573
2,2021-04-22 01:57:49.240552,0.4662844240665436,1.8054397106170657,0.10985704511404037,0.6594744789267883,-0.24463081526658562,0.15720995954595857,-0.24451449619638288,0.15733920626698533,0.031129937572018533,2.441890239715576,25.83500099182129,20.113826751708984,32.83254682153045,25.30888802211978,0,-10.985932629373124,27.590406460458738,14.96690421950172,-1.9419986013288795,-19.872500117319607,24.95387427627561,22.032423984090318,-10.022544191697559,6.067680175068627,12.569483615816367,-15.789576580111651,14.676279993536616,10.942756017643863,16.826372649141437,-14.826500450433791,24.953874276275606,1.0,4.94,2.2294744789267886,-8.500865777928286,9.008628342679852,34.940327202142775,37.070831776258885,-25.437509883759756,-16.019910669937296,-13.201200090478252,32.83254682153045,0,0,0.6594744789267883,10.6386931845979,-10.705035628492409,-19.872500117319607,24.95387427627561,-36.07620306835766,-5.314875041444887,6.6713000268413545,37.07083177625889,0,-0.4028590211053068,6.583408898919174e-05,0.0064457443376849085,103.13190940295853,6.789595301259632e-09,0.002327995940554966,1600000.0,0.00010533454238270679,36.11678990965228
3,2021-04-22 01:57:59.240679,0.46580514311790466,1.8712103366851809,0.11460172384977341,0.6564279916163012,-0.23596964666102882,0.16388298056107248,-0.23585308929311508,0.16401192940996046,0.031000439916781423,2.6717312335968018,25.832977294921875,19.6134033203125,32.544837586163666,25.348966962411918,0,-10.609875737072267,27.479803296558828,15.271636788773082,-1.8742964688517014,-19.746581439377934,25.033245015445807,22.23262900437926,-9.36786041888439,6.679577436430828,12.870621170365377,-15.614217249823861,14.737933585397515,10.782967644316964,16.770606518211885,-15.137295722693171,25.033245015445807,1.0,4.94,2.2264279916163012,-8.111236410720162,9.06237077670999,34.75069904300567,36.81752034266722,-24.949512209278687,-15.989476388212777,-13.454550860567995,32.544837586163666,0,0,0.6564279916163012,10.953976735496326,-10.804918840026637,-19.746581439377934,25.033245015445807,-35.90348894477501,-5.18455754818614,6.292030578809939,36.81752034266722,0,0.03153233640413333,6.708029991031594e-05,-0.0005045173824661333,-8.072278119458133,-5.414908372127328e-10,-0.00018170689862701095,1600000.0,0.00010732847985650551,36.015983778162166
4,2021-04-22 01:58:09.422684,0.4640457630157471,1.889564037322998,0.12274095416069031,0.6534712080473997,-0.22729590785121453,0.17052523138424805,-0.22702125484563093,0.1707744312155709,0.030868307942583235,2.1774368286132812,25.70686149597168,19.48623275756836,32.331056682357335,25.388421375398597,0,-10.22556637368961,27.370315080348057,15.58717937478244,-1.8046359811530972,-19.6054557591725,25.11156640695649,22.411181627761636,-9.008389022516923,6.868670371874137,13.179693206054893,-15.42224358156588,14.800028963353625,10.608115112665105,16.708132419681345,-15.456292317817528,25.11156640695649,1.0,4.94,2.2234712080473997,-8.430678284051824,8.998729076290335,34.94252507538589,37.054466936681564,-24.797313088422964,-16.17742733074206,-12.987737861193919,32.331056682357335,0,0,0.6534712080473997,11.278760395503147,-10.909007096291818,-19.6054557591725,25.11156640695649,-36.07607348392611,-5.268420234450241,6.617717897978581,37.054466936681564,0,0.032482500101480835,6.826820325045446e-05,-0.0005197200016236934,-8.315520025979094,-5.676856112667651e-10,-0.0001865729307686541,1600000.0,0.00010922912520072714,35.898739741739526
5,2021-04-22 01:58:19.422501,0.47235560417175293,1.8801472187042236,0.10868865251541138,0.6506310918305083,-0.21861010521977875,0.17713799286568205,-0.2183352883845188,0.17738619482533993,0.030738276702494963,1.9853969812393188,26.317564010620117,19.021469116210938,32.53263383074244,25.425826493534952,0,-9.846794193266257,27.26594962153136,15.90187691017633,-1.7355693317778726,-19.45386468208203,25.186002883358956,22.76061695325795,-8.68149318796512,6.39693154371276,13.486120392593493,-15.220402005018265,14.859295434261865,10.424732690364756,16.640093218657825,-15.772348818403168,25.186002883358956,1.0,4.94,2.2206310918305086,-8.439335709125437,9.677470791962293,34.793817934614104,37.087539613833606,-24.48289369866875,-16.870320539392033,-13.204259350793636,32.53263383074244,0,0,0.6506310918305083,11.601935968951995,-11.012582437564086,-19.45386468208203,25.186002883358956,-36.084829667620745,-5.857738101827946,6.249605331288395,37.08753961383361,0,0.03232168454722721,6.935671347463312e-05,-0.0005171469527556354,-8.274351244090166,-5.738818084248358e-10,-0.00018497484445776513,1600000.0,0.000110970741559413,35.76833305738732
6,2021-04-22 01:58:29.422697,0.46934327483177185,1.8742585182189941,0.08785507082939148,0.6479334499415551,-0.2099127749365712,0.18372250117475053,-0.20963748150588918,0.1839699882412753,0.030607990507208856,1.9657853841781616,25.766448974609375,18.867069244384766,31.99594516200774,25.461888079973455,0,-9.46673064017038,27.16480689441092,16.220959191852963,-1.6659150386114348,-19.28911278733953,25.25796235135242,23.005232453048418,-8.584607426542423,5.918484371500604,13.79416306223201,-15.005038105881022,14.917592265374083,10.229127315594054,16.566204440704194,-16.09007417423849,25.25796235135242,1.0,4.94,2.217933449941555,-8.263341931415892,9.200244533905181,34.95714341862326,37.08003769347253,-24.207788619712396,-16.458666448542633,-12.916492391092351,31.995945162007743,0,0,0.6479334499415551,11.928055623033071,-11.118285797435682,-19.28911278733953,25.25796235135242,-36.13584424274546,-5.340380651106951,6.372620396247179,37.08003769347253,0,0.03261616114628598,7.035920202014267e-05,-0.0005218585783405757,-8.349737253449211,-5.874808502305443e-10,-0.0001859033656326875,1600000.0,0.00011257472323222828,35.62332274460824
7,2021-04-22 01:58:39.422581,0.4715980589389801,1.8718018531799316,0.07376035302877426,0.6453488703143692,-0.20120440849062105,0.19027997758722265,-0.2009289214430488,0.19052658593093794,0.030477468554010262,1.7470453977584839,25.634748458862305,18.50676918029785,31.665328068153578,25.4965907920695,0,-9.085449869376069,27.066982494308238,16.5440095689063,-1.5957395729697943,-19.110952522506615,25.327438554230213,23.275594887714977,-8.318481095993763,5.525278146562203,14.103720023309107,-14.776022299573292,14.974424537354665,10.021335152247307,16.485982284900132,-16.409277058621395,25.32743855423021,1.0,4.94,2.215348870314369,-8.274289754488823,9.148766173962173,34.91604623891925,37.03098808302879,-23.82712573739216,-16.537604733156023,-12.707033896554872,31.665328068153578,0,0,0.6453488703143692,12.257042496102695,-11.225664641772338,-19.110952522506615,25.327438554230216,-36.08416823349485,-5.3119400913836845,6.403918625951743,37.03098808302879,0,0.032902943680020336,7.127433002906969e-05,-0.0005264470988803254,-8.423153582085206,-6.003546282950815e-10,-0.0001866957229773676,1600000.0,0.0001140389280465115,35.46333969252402
8,2021-04-22 01:58:49.422715,0.4849366545677185,1.8722532987594604,0.06862957775592804,0.6428801552567718,-0.1924855122645642,0.19681164337886747,-0.19220965287681843,0.19705758151027045,0.03034671454908833,0.9349541664123535,26.2276554107666,18.359159469604492,32.02846833786428,25.529924033325695,0,-8.702981260027762,26.972558350289564,16.87063747685248,-1.5251012412590712,-18.919138364683135,25.394450951605442,23.617066053670307,-7.7423814893331455,5.21227963790315,14.414362161239351,-14.533172156239987,15.029677631114266,9.801187339637202,16.39933202594858,-16.72951807343915,25.39445095160544,1.0,4.94,2.212880155256772,-8.866233173224849,9.82832338481802,35.088677543043644,37.50228423654016,-23.81787185276663,-17.49046122683368,-12.353765844769336,32.028468337864275,0,0,0.6428801552567718,12.5884899534858,-11.33464879749066,-18.919138364683135,25.394450951605442,-36.40636180625243,-6.155812429343021,6.565372519913799,37.50228423654016,0,0.03314905810775244,7.209901283999898e-05,-0.000530384929724039,-8.486158875584623,-6.11843677733047e-10,-0.0001871640615649322,1600000.0,0.00011535842054399836,35.28834457312244
9,2021-04-22 01:58:59.426949,0.48079895973205566,1.8691890239715576,0.0595490150153637,0.6405209624355213,-0.18375657774742965,0.20331870493184714,-0.18347677155384473,0.203566668593794,0.03021568772339252,1.1027666330337524,25.840822219848633,18.446149826049805,31.768295998523946,25.56188802099195,0,-8.319224159198454,26.881584957154647,17.200553200873472,-1.4540348795674247,-18.713373220481312,25.459057035485515,23.801401403909537,-7.579140413051741,4.920722197535983,14.725849915201255,-14.27625156303544,15.083155197769454,9.56850812012091,16.306032273992347,-17.050529287116124,25.459057035485515,1.0,4.94,2.2105209624355213,-8.465741487087158,9.534789945856286,35.496679113165925,37.71730672119711,-23.81499147359688,-17.06616285405601,-12.280753120276435,31.768295998523946,0,0,0.6405209624355213,12.922187040313192,-11.445100696028808,-18.713373220481312,25.459057035485515,-36.737178513910074,-5.621062158027202,6.432620100204877,37.71730672119712,0,0.033374073208798906,7.283120430301437e-05,-0.0005339851713407824,-8.543762741452518,-6.222525297392105e-10,-0.00018741920373806513,1600000.0,0.000116529926884823,35.09820380732195
10,2021-04-22 01:59:09.094560,0.47531893849372864,1.8922300338745117,0.05244821310043335,0.6383137559536657,-0.17501812621546034,0.20980238352193073,-0.17502868578278094,0.2098345239257076,0.03008887161820081,0.6152474284172058,25.9923152923584,17.918231964111328,31.575972200001114,25.591451487149794,0,-7.9473524223701535,26.797066998917884,17.52196110819466,-1.3850393464874184,-18.501170863310737,25.51922370257024,23.960155769100243,-7.314787340599564,4.861645818452761,15.027507920565656,-14.014650842444038,15.132559130680502,9.33197710979917,16.20905380773275,-17.361208375629598,25.519223702570237,1.0,4.94,2.208313755953666,-8.716729681381965,9.783261484625648,35.27944033974093,37.6341931267323,-23.335262701100703,-17.554382256794938,-12.014624364839065,31.575972200001114,0,0,0.6383137559536657,13.24665089982984,-11.552648830741884,-18.501170863310737,25.51922370257024,-36.58191360093054,-6.001733426053054,6.486546498471672,37.6341931267323,0,0.03245064454124229,7.345048363305295e-05,-0.0005192103126598766,-8.307365002558026,-6.101799771541852e-10,-0.0001812035082017174,1600000.0,0.00011752077381288473,34.89982840930586
